target,track,fold,k_star,features
snap_hyper,reg,17,19,uaX_std;uaY_domfreq;uaZ_skew;uaMag_std;uaMag_rms;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_iqr;pitch_kurt;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,18,19,uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30;frac_act_short_w10_p20;frac_act_short_w10_p30;actbout_med_p10;actshort_p80
snap_hyper,reg,19,16,uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;stl_bout_median_w5_p30;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,20,8,uaY_domfreq;uaMag_spread;uaMag_bp_mf;gyZ_mean;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,21,17,uaX_std;uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_bp_mf;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10;actshort_p80
snap_hyper,reg,22,19,uaX_skew;uaY_domfreq;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;pitch_kurt;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30;act_bout_median_w5_p60;frac_act_short_w10_p20;actbout_med_p10;actshort_p80
snap_hyper,reg,23,17,uaX_std;uaY_domfreq;uaMag_std;uaMag_spread;uaMag_bp_mf;gyY_max;gyY_madiff;gyZ_mean;gyMag_std;gyMag_iqr;pitch_kurt;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p70;frac_act_short_w10_p20
snap_odd,reg,0,2,yaw_kurt;actbout_med_p20
snap_odd,reg,1,1,actbout_med_p20
snap_odd,reg,2,1,yaw_kurt
snap_odd,reg,3,17,uaX_std;uaZ_std;uaMag_std;uaMag_rms;uaMag_spread;uaMag_bp_hf;yaw_kurt;jerk_dfa_alpha;stl_bout_median_w0.5_p30;switch_per_min_w0.5_p40;act_bout_median_w1_p50;switch_per_min_w5_p20;stl_bout_median_w10_p10;switch_per_min_w10_p30;frac_act_short_w10_p30;actbout_med_p10;actbout_med_p20
snap_odd,reg,4,2,yaw_kurt;actbout_med_p20
snap_odd,reg,5,6,yaw_std;yaw_kurt;stl_bout_median_w0.5_p30;stl_bout_median_w10_p10;actbout_med_p10;actbout_med_p20
snap_odd,reg,6,1,yaw_kurt
snap_odd,reg,7,1,yaw_kurt
snap_odd,reg,8,1,yaw_kurt
snap_odd,reg,9,1,yaw_kurt
snap_odd,reg,10,10,yaw_std;yaw_kurt;stl_bout_median_w0.5_p30;switch_per_min_w0.5_p40;switch_per_min_w5_p20;stl_bout_median_w10_p10;stl_bout_median_w10_p60;stl_bout_median_w10_p70;actbout_med_p10;actbout_med_p20
snap_odd,reg,11,1,yaw_kurt
snap_odd,reg,12,2,yaw_kurt;actbout_med_p20
snap_odd,reg,13,1,yaw_kurt
snap_odd,reg,14,1,yaw_kurt
snap_odd,reg,15,1,yaw_kurt
snap_odd,reg,16,2,yaw_kurt;stl_bout_median_w10_p10
snap_odd,reg,17,10,gyX_domfreq;roll_mean;jerk_centroid;stl_bout_cv_w2_p10;act_bout_median_w2_p80;stl_bout_median_w10_p10;frac_act_short_w10_p20;stl_bout_median_w10_p60;stl_bout_median_w10_p70;actbout_med_p10
snap_odd,reg,18,3,yaw_kurt;stl_bout_median_w10_p10;actbout_med_p20
snap_odd,reg,19,4,yaw_kurt;stl_bout_median_w10_p10;frac_act_short_w10_p20;actbout_med_p20
snap_odd,reg,20,2,yaw_kurt;actbout_med_p20
snap_odd,reg,21,13,roll_mean;roll_median;yaw_std;yaw_kurt;jerk_dfa_alpha;stl_bout_median_w0.5_p30;switch_per_min_w0.5_p40;switch_per_min_w5_p20;stl_bout_median_w10_p10;stl_bout_median_w10_p60;stl_bout_median_w10_p70;actbout_med_p10;actbout_med_p20
snap_odd,reg,22,1,yaw_kurt
snap_odd,reg,23,12,roll_mean;yaw_std;yaw_kurt;jerk_dfa_alpha;stl_bout_median_w0.5_p30;switch_per_min_w0.5_p40;switch_per_min_w5_p20;stl_bout_median_w10_p10;stl_bout_median_w10_p60;stl_bout_median_w10_p70;actbout_med_p10;actbout_med_p20
snap_adhd_total,reg,0,2,gyZ_mean;frac_act_short_w10_p20
snap_adhd_total,reg,1,1,frac_act_short_w10_p20
snap_adhd_total,reg,2,1,frac_act_short_w10_p20
snap_adhd_total,reg,3,1,frac_act_short_w10_p20
snap_adhd_total,reg,4,20,uaX_std;uaY_mean;uaZ_std;uaMag_std;uaMag_rms;uaMag_iqr;uaMag_mad;uaMag_spread;uaMag_bp_hf;gyMag_iqr;gyMag_mad;roll_mean;uaMag_peak_amp_med;jerk_dfa_alpha;stl_bout_median_w1_p20;within_win_sd_w10;frac_act_short_w10_p20;actbout_med_p10;switchmin_p30;actbout_med_p60
snap_adhd_total,reg,5,1,frac_act_short_w10_p20
snap_adhd_total,reg,6,1,frac_act_short_w10_p20
