target,type,feature,rho,perm_p,loo_r2cv,loo_rmse,loo_mae,rho_partial_uamag,q_fdr
snap_inatt,cont,uaX_mean,0.007879367179931922,0.97035,-0.1320390769576989,4.985543160255146,3.899893345796714,,0.997380428336079
snap_inatt,cont,uaX_std,-0.47319977341702263,0.019789999999999974,0.08815527622286812,4.474476338111979,3.226350159094236,,0.8356726153846151
snap_inatt,cont,uaX_var,-0.47319977341702263,0.019789999999999974,0.0850401990822226,4.482112756198982,3.2622924962985884,,0.8356726153846151
snap_inatt,cont,uaX_rms,-0.44299553256061697,0.03108999999999995,0.08507379801713255,4.482030459907303,3.2305853813670304,,0.8356726153846151
snap_inatt,cont,uaX_min,0.20573903192044463,0.32957000000000003,0.0033036866033682166,4.678032093990411,3.6510249476546854,,0.9725000896860985
snap_inatt,cont,uaX_max,-0.010505822906575896,0.96072,-0.07048522466626106,4.84810603295789,3.795484220727458,,0.997380428336079
snap_inatt,cont,uaX_range,-0.20267483357269334,0.33716,0.024179712567285017,4.628781627437281,3.545635694360635,,0.9725000896860985
snap_inatt,cont,uaX_median,-0.04596297521626955,0.83021,-0.09353256197553672,4.900017496852728,3.8918956259851694,,0.997380428336079
snap_inatt,cont,uaX_iqr,-0.05252911453287948,0.8064,-0.05659605400948364,4.816552110103104,3.730077964730116,,0.997380428336079
snap_inatt,cont,uaX_mad,-0.05909525384948942,0.78168,-0.046795949459794706,4.794162911369165,3.706009904396358,,0.997380428336079
snap_inatt,cont,uaX_skew,0.2477623235467482,0.23714999999999997,-0.2077746554520199,5.149614595132634,3.944567284740566,,0.9362805194805194
snap_inatt,cont,uaX_kurt,0.04727620307959153,0.8253900000000001,-0.12134672442317851,4.961942536134435,3.9265897628804516,,0.997380428336079
snap_inatt,cont,uaX_zcr,0.04552523259516222,0.83173,-0.11318079329801711,4.943842461853976,3.960703472896244,,0.997380428336079
snap_inatt,cont,uaX_madiff,-0.3843380213322349,0.06377,0.04537915829105399,4.5782259952529065,3.3604681208176217,,0.8356726153846151
snap_inatt,cont,uaX_domfreq,-0.19921620518292749,0.34650000000000003,-0.13900138701982923,5.000850799114147,3.9833085878859316,,0.9725000896860985
snap_inatt,cont,uaX_centroid,0.11687727983565684,0.58329,0.01749276035367231,4.644614253751072,3.655750020593217,,0.997380428336079
snap_inatt,cont,uaX_spread,0.22543744987027442,0.28371999999999997,0.0165643068766953,4.646808278280765,3.6222816024954017,,0.9553997790055249
snap_inatt,cont,uaX_entropy,0.25389072024225084,0.22560000000000002,0.08622265859258005,4.479215563169162,3.360679719969088,,0.9324256209150326
snap_inatt,cont,uaX_bp_lf,-0.003939683589965961,0.98446,-0.11147632983471345,4.940056092651661,3.921590571221733,,0.997380428336079
snap_inatt,cont,uaX_bp_mf,0.07791818655710456,0.71453,-0.05615868625678355,4.815555124258107,3.8069586979426524,,0.997380428336079
snap_inatt,cont,uaX_bp_hf,0.1842896434861855,0.38522999999999996,0.01053096363741568,4.6610404854593925,3.6550361387489723,,0.9834695719844359
snap_inatt,cont,uaY_mean,-0.3817115656055909,0.06557999999999997,-0.09701130920684209,4.9078052792130995,3.6598582597803673,,0.8356726153846151
snap_inatt,cont,uaY_std,-0.28015527750869057,0.18052999999999997,-0.034328937597602804,4.765528911230469,3.5964013182245593,,0.907125950413223
