target,d,f1,acc,bacc
snap_inatt__qbin,1,0.7078260869565217,0.7083333333333334,0.7083333333333333
snap_inatt__qbin,2,0.6643356643356644,0.6666666666666666,0.6666666666666667
snap_inatt__qbin,3,0.45739130434782604,0.4583333333333333,0.45833333333333337
snap_inatt__qbin,4,0.34664246823956446,0.375,0.375
snap_inatt__qbin,5,0.4337568058076225,0.4583333333333333,0.4583333333333333
snap_inatt__qbin,6,0.5,0.5,0.5
snap_inatt__qbin,7,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_inatt__qbin,8,0.49650349650349646,0.5,0.5
snap_inatt__qbin,9,0.49650349650349646,0.5,0.5
snap_inatt__qbin,10,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_inatt__qbin,11,0.45739130434782604,0.4583333333333333,0.45833333333333337
snap_inatt__qbin,12,0.49650349650349646,0.5,0.5
snap_inatt__qbin,13,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_inatt__qbin,14,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_inatt__qbin,15,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_inatt__qbin,16,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_inatt__qbin,17,0.5804195804195804,0.5833333333333334,0.5833333333333333
snap_inatt__qbin,18,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_inatt__qbin,19,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_inatt__qbin,20,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_hyper__qbin,1,0.24475524475524477,0.25,0.25874125874125875
snap_hyper__qbin,2,0.24475524475524477,0.25,0.25874125874125875
snap_hyper__qbin,3,0.32867132867132864,0.3333333333333333,0.34265734265734266
snap_hyper__qbin,4,0.3739130434782609,0.375,0.38111888111888115
snap_hyper__qbin,5,0.45739130434782604,0.4583333333333333,0.465034965034965
snap_hyper__qbin,6,0.4166666666666667,0.4166666666666667,0.4195804195804196
snap_hyper__qbin,7,0.3739130434782609,0.375,0.38111888111888115
snap_hyper__qbin,8,0.49650349650349646,0.5,0.5104895104895105
snap_hyper__qbin,9,0.45739130434782604,0.4583333333333333,0.465034965034965
snap_hyper__qbin,10,0.45739130434782604,0.4583333333333333,0.465034965034965
snap_hyper__qbin,11,0.49650349650349646,0.5,0.49650349650349646
snap_hyper__qbin,12,0.5408695652173914,0.5416666666666666,0.5419580419580419
snap_hyper__qbin,13,0.5408695652173914,0.5416666666666666,0.5419580419580419
snap_hyper__qbin,14,0.5408695652173914,0.5416666666666666,0.5419580419580419
snap_hyper__qbin,15,0.49650349650349646,0.5,0.49650349650349646
snap_hyper__qbin,16,0.5804195804195804,0.5833333333333334,0.5804195804195804
snap_hyper__qbin,17,0.5343915343915344,0.5416666666666666,0.534965034965035
snap_hyper__qbin,18,0.5804195804195804,0.5833333333333334,0.5804195804195804
snap_hyper__qbin,19,0.5804195804195804,0.5833333333333334,0.5804195804195804
snap_hyper__qbin,20,0.5804195804195804,0.5833333333333334,0.5804195804195804
snap_odd__qbin,1,0.7078260869565217,0.7083333333333334,0.7444444444444445
snap_odd__qbin,2,0.7822141560798548,0.7916666666666666,0.788888888888889
snap_odd__qbin,3,0.6444444444444444,0.6666666666666666,0.6444444444444444
snap_odd__qbin,4,0.6812144212523719,0.7083333333333334,0.6777777777777778
snap_odd__qbin,5,0.6079854809437386,0.625,0.6111111111111112
snap_odd__qbin,6,0.49650349650349646,0.5,0.5111111111111111
snap_odd__qbin,7,0.5343915343915344,0.5416666666666666,0.5444444444444445
snap_odd__qbin,8,0.4337568058076225,0.4583333333333333,0.43333333333333335
snap_odd__qbin,9,0.37777777777777777,0.4166666666666667,0.37777777777777777
snap_odd__qbin,10,0.4079696394686907,0.4583333333333333,0.4111111111111111
snap_odd__qbin,11,0.37777777777777777,0.4166666666666667,0.37777777777777777
snap_odd__qbin,12,0.4,0.4166666666666667,0.4
snap_odd__qbin,13,0.4990512333965844,0.5416666666666666,0.5
snap_odd__qbin,14,0.4666666666666667,0.5,0.4666666666666667
snap_odd__qbin,15,0.36507936507936506,0.375,0.3666666666666667
snap_odd__qbin,16,0.2804232804232804,0.2916666666666667,0.2777777777777778
snap_odd__qbin,17,0.2804232804232804,0.2916666666666667,0.2777777777777778
snap_odd__qbin,18,0.32867132867132864,0.3333333333333333,0.3333333333333333
snap_odd__qbin,19,0.2804232804232804,0.2916666666666667,0.2777777777777778
snap_odd__qbin,20,0.24475524475524477,0.25,0.24444444444444444
snap_adhd_total__qbin,1,0.8321678321678322,0.8333333333333334,0.8333333333333333
snap_adhd_total__qbin,2,0.5408695652173914,0.5416666666666666,0.5416666666666667
snap_adhd_total__qbin,3,0.4125874125874126,0.4166666666666667,0.41666666666666663
snap_adhd_total__qbin,4,0.6666666666666666,0.6666666666666666,0.6666666666666666
snap_adhd_total__qbin,5,0.6643356643356644,0.6666666666666666,0.6666666666666667
snap_adhd_total__qbin,6,0.6243478260869566,0.625,0.625
snap_adhd_total__qbin,7,0.6643356643356644,0.6666666666666666,0.6666666666666667
snap_adhd_total__qbin,8,0.6643356643356644,0.6666666666666666,0.6666666666666667
snap_adhd_total__qbin,9,0.6243478260869566,0.625,0.625
snap_adhd_total__qbin,10,0.6666666666666666,0.6666666666666666,0.6666666666666666
snap_adhd_total__qbin,11,0.7078260869565217,0.7083333333333334,0.7083333333333333
snap_adhd_total__qbin,12,0.7883597883597884,0.7916666666666666,0.7916666666666666
snap_adhd_total__qbin,13,0.7482517482517483,0.75,0.75
snap_adhd_total__qbin,14,0.7883597883597884,0.7916666666666666,0.7916666666666666
snap_adhd_total__qbin,15,0.7078260869565217,0.7083333333333334,0.7083333333333333
snap_adhd_total__qbin,16,0.7482517482517483,0.75,0.75
snap_adhd_total__qbin,17,0.7078260869565217,0.7083333333333334,0.7083333333333333
snap_adhd_total__qbin,18,0.7078260869565217,0.7083333333333334,0.7083333333333333
snap_adhd_total__qbin,19,0.7482517482517483,0.75,0.75
snap_adhd_total__qbin,20,0.7482517482517483,0.75,0.75
sdq_hyper__qbin,1,0.19576719576719576,0.20833333333333334,0.19285714285714284
sdq_hyper__qbin,2,0.4,0.4166666666666667,0.4
sdq_hyper__qbin,3,0.2804232804232804,0.2916666666666667,0.2785714285714286
sdq_hyper__qbin,4,0.2285714285714286,0.25,0.2285714285714286
sdq_hyper__qbin,5,0.2804232804232804,0.2916666666666667,0.2785714285714286
sdq_hyper__qbin,6,0.34664246823956446,0.375,0.35
sdq_hyper__qbin,7,0.4337568058076225,0.4583333333333333,0.4357142857142857
sdq_hyper__qbin,8,0.4337568058076225,0.4583333333333333,0.4357142857142857
sdq_hyper__qbin,9,0.4,0.4166666666666667,0.4
sdq_hyper__qbin,10,0.36507936507936506,0.375,0.36428571428571427
sdq_hyper__qbin,11,0.4,0.4166666666666667,0.4
sdq_hyper__qbin,12,0.4337568058076225,0.4583333333333333,0.4357142857142857
sdq_hyper__qbin,13,0.4666666666666667,0.5,0.4714285714285714
sdq_hyper__qbin,14,0.4857142857142857,0.5,0.4857142857142857
sdq_hyper__qbin,15,0.4125874125874126,0.4166666666666667,0.41428571428571426
sdq_hyper__qbin,16,0.36507936507936506,0.375,0.36428571428571427
sdq_hyper__qbin,17,0.3142857142857143,0.3333333333333333,0.3142857142857143
sdq_hyper__qbin,18,0.34664246823956446,0.375,0.35
sdq_hyper__qbin,19,0.4337568058076225,0.4583333333333333,0.4357142857142857
sdq_hyper__qbin,20,0.4079696394686907,0.4583333333333333,0.4214285714285715
sdq_emo__qbin,1,0.7333333333333334,0.75,0.75
sdq_emo__qbin,2,0.45739130434782604,0.4583333333333333,0.45833333333333337
sdq_emo__qbin,3,0.49650349650349646,0.5,0.5
sdq_emo__qbin,4,0.6243478260869566,0.625,0.625
sdq_emo__qbin,5,0.6243478260869566,0.625,0.625
sdq_emo__qbin,6,0.5833333333333334,0.5833333333333334,0.5833333333333334
sdq_emo__qbin,7,0.5833333333333334,0.5833333333333334,0.5833333333333334
sdq_emo__qbin,8,0.45739130434782604,0.4583333333333333,0.45833333333333337
sdq_emo__qbin,9,0.5,0.5,0.5
sdq_emo__qbin,10,0.45739130434782604,0.4583333333333333,0.45833333333333337
sdq_emo__qbin,11,0.3739130434782609,0.375,0.375
sdq_emo__qbin,12,0.3739130434782609,0.375,0.375
sdq_emo__qbin,13,0.3739130434782609,0.375,0.375
sdq_emo__qbin,14,0.3739130434782609,0.375,0.375
sdq_emo__qbin,15,0.32867132867132864,0.3333333333333333,0.33333333333333337
sdq_emo__qbin,16,0.32867132867132864,0.3333333333333333,0.33333333333333337
sdq_emo__qbin,17,0.32867132867132864,0.3333333333333333,0.33333333333333337
sdq_emo__qbin,18,0.32867132867132864,0.3333333333333333,0.33333333333333337
sdq_emo__qbin,19,0.29043478260869565,0.2916666666666667,0.29166666666666663
sdq_emo__qbin,20,0.29043478260869565,0.2916666666666667,0.29166666666666663
sdq_cond__qbin,1,0.39495798319327735,0.5,0.40625
sdq_cond__qbin,2,0.6307692307692307,0.7083333333333334,0.625
sdq_cond__qbin,3,0.5966386554621849,0.6666666666666666,0.59375
sdq_cond__qbin,4,0.6307692307692307,0.7083333333333334,0.625
sdq_cond__qbin,5,0.6666666666666667,0.75,0.65625
sdq_cond__qbin,6,0.7362637362637363,0.7916666666666666,0.71875
sdq_cond__qbin,7,0.7362637362637363,0.7916666666666666,0.71875
sdq_cond__qbin,8,0.7362637362637363,0.7916666666666666,0.71875
sdq_cond__qbin,9,0.7362637362637363,0.7916666666666666,0.71875
sdq_cond__qbin,10,0.6974789915966386,0.75,0.6875
sdq_cond__qbin,11,0.6307692307692307,0.7083333333333334,0.625
sdq_cond__qbin,12,0.6307692307692307,0.7083333333333334,0.625
sdq_cond__qbin,13,0.6974789915966386,0.75,0.6875
sdq_cond__qbin,14,0.5966386554621849,0.6666666666666666,0.59375
sdq_cond__qbin,15,0.6974789915966386,0.75,0.6875
sdq_cond__qbin,16,0.6974789915966386,0.75,0.6875
sdq_cond__qbin,17,0.6974789915966386,0.75,0.6875
sdq_cond__qbin,18,0.7362637362637363,0.7916666666666666,0.71875
sdq_cond__qbin,19,0.7983193277310925,0.8333333333333334,0.78125
sdq_cond__qbin,20,0.7983193277310925,0.8333333333333334,0.78125
sdq_peer__qbin,1,0.49473684210526314,0.6666666666666666,0.5
sdq_peer__qbin,2,0.49473684210526314,0.6666666666666666,0.5
sdq_peer__qbin,3,0.5872235872235873,0.7083333333333334,0.5833333333333334
sdq_peer__qbin,4,0.5213675213675213,0.7083333333333334,0.5277777777777778
sdq_peer__qbin,5,0.55,0.75,0.5555555555555556
sdq_peer__qbin,6,0.55,0.75,0.5555555555555556
sdq_peer__qbin,7,0.55,0.75,0.5555555555555556
sdq_peer__qbin,8,0.55,0.75,0.5555555555555556
sdq_peer__qbin,9,0.6581196581196581,0.7916666666666666,0.6388888888888888
sdq_peer__qbin,10,0.6581196581196581,0.7916666666666666,0.6388888888888888
sdq_peer__qbin,11,0.55,0.75,0.5555555555555556
sdq_peer__qbin,12,0.55,0.75,0.5555555555555556
sdq_peer__qbin,13,0.55,0.75,0.5555555555555556
sdq_peer__qbin,14,0.6581196581196581,0.7916666666666666,0.6388888888888888
sdq_peer__qbin,15,0.55,0.75,0.5555555555555556
sdq_peer__qbin,16,0.5213675213675213,0.7083333333333334,0.5277777777777778
sdq_peer__qbin,17,0.5213675213675213,0.7083333333333334,0.5277777777777778
