label_name,target,method,params,group_names,k_declared,k_observed,group_sizes,n_unassigned,degenerate,empty_groups,constant,on_degenerate,written,source_id,source_citation,note
sdq_peer__qter,sdq_peer,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,2,"{""0"": 18, ""1"": 6, ""2"": 0}",0,True,[2],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_peer__qquar,sdq_peer,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,2,"{""0"": 18, ""1"": 0, ""2"": 6, ""3"": 0}",0,True,"[1, 3]",False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_pro__qbin,sdq_pro,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 15, ""1"": 9}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_pro__qter,sdq_pro,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,2,"{""0"": 11, ""1"": 13, ""2"": 0}",0,True,[2],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_pro__qquar,sdq_pro,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,3,"{""0"": 6, ""1"": 9, ""2"": 9, ""3"": 0}",0,True,[3],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_totdiff__qbin,sdq_totdiff,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 15, ""1"": 9}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_totdiff__qter,sdq_totdiff,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,3,"{""0"": 9, ""1"": 8, ""2"": 7}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_totdiff__qquar,sdq_totdiff,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,4,"{""0"": 7, ""1"": 8, ""2"": 5, ""3"": 4}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_total__wang2025T55,snap_total,zscore_cut,"{""ddof"": 1, ""t_cut"": 55, ""t_mean"": 50, ""t_sd"": 10}","[""below_cut"", ""at_or_above_cut""]",2,2,"{""0"": 17, ""1"": 7}",0,False,[],False,keep,True,wang2025_sensors,"Wang et al., Sensors 2025, 25(20):6459","切点 55 来自参考论文1(Wang, Sensors 2025, 25(20):6459)的 ADHD 定义。 注意两点:(1) 该 T 分是样本内 z 分换刻度,不是人群常模,论文层面无任何中国 SNAP-IV 人群阈值(31_chinese_norms.md:54);(2) 论文在它自己的 50 人内算, 本列在本项目建模子集 24 人内重算,故与论文的 13/37 不可直接比。"
sdq_hyper__norm8,sdq_hyper,raw_cut,"{""cuts"": [8]}","[""normal_or_borderline"", ""abnormal""]",2,1,"{""0"": 24, ""1"": 0}",0,True,[1],True,skip,False,cn_sdq_parent_2013,"Results of the parent-rated SDQ in 22,108 primary school students from 8 provinces of China. Shanghai Archives of Psychiatry 2013, 25(6):364-374","切点 8 来自大陆 22,108 人家长版 SDQ 常模(PMC4054577)的多动/注意力子量表 异常线(正常 0-6 / 边界 7 / 异常 8-10,按大陆本样本 90 百分位定)。 前提是 SDQ 标准 0/1/2 计分,本数据 1-indexed 已在 40_targets.py 里减 1、 反向题已翻转,故 targets.csv 的 sdq_hyper 就是 0-10 标准分,可直接对照。 本列只用了异常线一条切点,没有把""边界 7""单独切出来;要三分组见 TASK-9。"
